"","hb","hct","rdw","mch","mchc","pltlt","rbc","wbc","neut_p","mono_p","lympho_p","baso_p","ferritin","glu","ca","cl","sodium","k","vitb12","folate","chol","trig","hdl","alb","alkp","tot_prot","ggt","ldh","uric_ac","alt","ast"
"chol",0.0324567398895912,0.0348255164754168,-0.0125641626877776,0.035529308370516,0.00496244357114609,0.104609432876923,0.00854119760924204,0.0416952045525675,0.0470962399798989,-0.125610847325293,0.00875169594861766,0.0105419876556716,0.0533234499270764,-0.0268375697044379,0.173933784020837,0.00618043769365736,0.00816354510932334,0.0601578153837078,-0.0494677908067198,-0.142544708735655,1,0.353263872334461,0.230629219503371,0.0710117918046239,0.0737175536476808,0.0788837954305964,0.0395703222249864,0.0590738352730477,0.00330687635287639,-0.0729314733374629,-0.0436926087222819
"trig",0.14875118360592,0.131412830752036,-0.0590612083216914,0.0446538249930516,0.0869580297592025,0.0971791282318185,0.116422553461283,0.303199875690721,0.0942516165496362,-0.0720732962480757,-0.0651219423851222,0.0473145711905392,0.143368937290649,0.241297100966192,0.0826933789148159,-0.0452682297501975,-0.105591905975163,0.027137905878881,-0.156982976312061,-0.0163878965772909,0.353263872334461,1,-0.431682184403008,0.0102628555340616,0.131315924712926,0.0451518686399646,0.157671551482771,-0.0980390646968515,0.25801143804874,0.00300065389292387,-0.0045963847734377
"hdl",-0.20872128265536,-0.198723746599376,0.00220862877189956,0.0387324858457309,-0.0756481473312169,0.0320016670682891,-0.234877438247952,-0.162581056811319,-0.0225424575138513,0.00403126057111876,0.0316592928113263,0.00515262374359195,-0.179172564017978,-0.222794409552578,0.0663345263234792,-0.0391875398319144,0.0331781463114072,-0.0338074127806518,0.0969996286076419,0.0542917871329475,0.230629219503371,-0.431682184403008,1,-0.0547143617689393,-0.0755884022692836,-0.0574732481787801,-0.0986139027893635,0.0968924892521117,-0.305008587834299,-0.0730342591192337,0.0221979444459769
"alb",0.368664834931502,0.365131275864849,-0.181976102483306,0.0596687193084356,0.0957611518191796,-0.0385300475329601,0.320786984061295,-0.0642537891376949,-0.0856812685007051,0.0691905164244637,0.0923033279450171,0.025651556169664,0.240056883542371,0.0435384930982815,0.451612955943772,-0.110484069809913,0.0440492947772579,0.0512396944101256,0.00614601775817714,-0.118558418668061,0.0710117918046239,0.0102628555340616,-0.0547143617689393,1,-0.0783590782129615,0.585049466857738,0.0723055302557787,0.0886392497667362,0.122086309695755,0.00839837334331406,0.142872018759794
"alkp",-0.0188044466123763,0.00688647208309188,0.135724171162058,-0.0303611915470739,-0.0872044066177382,0.0265578132965408,0.00166501628149815,0.102673442127179,0.082217007870996,-0.0582690522190717,-0.0680707843173051,-0.0377329666354126,0.0561687340127189,0.0927430691620626,0.015347054323956,0.0152162058550155,0.0679165650568089,0.0654182091808785,-0.0121435023252596,-0.104289035303604,0.0737175536476808,0.131315924712926,-0.0755884022692836,-0.0783590782129615,1,0.0683070394152043,0.21407206197792,0.123771648538508,0.101993488466897,0.0666525165850569,0.0901193369456288
"tot_prot",0.176736603015333,0.218173775061585,-0.0416704514898157,-0.106287569756154,-0.0943171122861859,0.111521441103669,0.247633727788376,-0.019695035644373,-0.110138732065352,0.0920644982274259,0.0816040228756518,0.0486093578705945,0.111864586168431,0.0993411239215578,0.312018879466869,-0.211208533684042,-0.0499770491295125,-0.0172130468942616,0.107093780963502,0.0521872985688463,0.0788837954305964,0.0451518686399646,-0.0574732481787801,0.585049466857738,0.0683070394152043,1,0.14040882275339,0.0175225038695621,0.138340375119591,0.0524064006255774,0.205938036238417
"ggt",0.253311443700571,0.253565510600179,-0.0134845131539222,0.0924592600024444,0.0542964275240479,-0.0301670699521598,0.188530660547623,0.0238386537764916,-0.115083991563526,0.100119277086561,0.0620303782561666,0.018938488680651,0.323633931516454,0.212381611291928,0.0621865694856954,-0.116004636253435,0.0503485830271056,0.0880348745200868,0.151040620405166,0.0945965692840929,0.0395703222249864,0.157671551482771,-0.0986139027893635,0.0723055302557787,0.21407206197792,0.14040882275339,1,0.0864008175089162,0.314428764982589,0.542199250968839,0.40812473629615
"ldh",-0.0559920719601698,-0.056394731856117,0.252615594985801,0.00446415285083768,-0.0129809378851064,-0.22073166754147,-0.0611525454326483,-0.159546558415741,-0.0702694550953753,0.023070078254541,0.0930343531687952,-0.124900781445677,0.123758300035933,-0.121234644971389,0.139131937146942,0.362134627372084,0.481755260322212,0.189885651801303,0.0101808409795463,-0.323560967043925,0.0590738352730477,-0.0980390646968515,0.0968924892521117,0.0886392497667362,0.123771648538508,0.0175225038695621,0.0864008175089162,1,0.0476838281264124,0.0534338958038218,0.25575221144382
"uric_ac",0.250120566964292,0.247679941432506,0.0607394353747082,0.0194442142894966,0.0600503191719951,-0.0891657971815756,0.240019607390182,0.100656480804207,-0.0338464649175142,0.0784143246495365,-0.0251038322201637,0.0148416109056793,0.312757225004805,0.163065438878361,0.106312333984438,-0.0892585072903313,0.0676436036089933,0.0865522148561902,-0.0201449374850817,0.0225613251794058,0.00330687635287639,0.25801143804874,-0.305008587834299,0.122086309695755,0.101993488466897,0.138340375119591,0.314428764982589,0.0476838281264124,1,0.183213593643263,0.160775324712028
"alt",0.263300830915678,0.252946595503613,-0.117368598894262,0.0859442934708907,0.0972103509790027,-0.0597790056286645,0.202895497165393,-0.0770773643858468,-0.181451838475106,0.200669565140421,0.100899383192781,0.0398915687455717,0.201182449965742,0.102539399169173,-0.0506102117445608,-0.161404827675524,0.0829660874043363,0.0389683851617879,0.249389385380485,0.351098965290343,-0.0729314733374629,0.00300065389292387,-0.0730342591192337,0.00839837334331406,0.0666525165850569,0.0524064006255774,0.542199250968839,0.0534338958038218,0.183213593643263,1,0.650686628783712
"ast",0.189908215513001,0.18805053836538,-0.0599900522635632,0.0842849296222603,0.0487293563538772,-0.0906180081658155,0.12935031367224,-0.0598457901229676,-0.135961831065845,0.245050226988157,0.0606527487538345,0.0486920335613445,0.194270397636907,-0.00137389252321868,0.0979489257354776,-0.0934961900306156,0.0218781198771397,0.0311879886085161,0.16147009369848,0.236621225653634,-0.0436926087222819,-0.0045963847734377,0.0221979444459769,0.142872018759794,0.0901193369456288,0.205938036238417,0.40812473629615,0.25575221144382,0.160775324712028,0.650686628783712,1
