"","ca","cl","k","mg","sodium","p","ferritin","hb","hct","iron","mch","mchc","rbc","rdw","alb","alkp","alt","ast","ggt","ldh","tot_prot","uric_ac","baso_p","lympho_p","mono_p","neut_p","wbc","trig","hdl","ldl","chol","chol_hdl","vitb12","folate","vita","g_toco","b_cryp","a_carot","vitd_tot"
"mch",0.0125714253966574,-0.0456029751850244,0.0257976290132281,-0.0048012777311801,-0.0149838700506492,-0.00126946025609026,0.289268579432673,0.364751984117612,0.233116971954822,0.338939433182635,1,0.587953023660548,-0.304611532535995,-0.460247716309744,0.0803405000586066,-0.0591486236869397,0.0639195043767641,0.0893521033356996,0.0580831476180709,-0.00819142472518325,-0.0965266541980836,-0.00717526420902565,-0.0313084932778236,-0.0688145752046703,0.0187369390780996,0.0595766526562484,0.00247107618362936,0.0549947827378511,0.0864645272440187,0.0183626985079309,0.059688487717696,-0.115806859118463,-0.040000132302639,0.0248729713549853,0.0672050854810414,-0.0781001936900049,0.00273755249055814,0.0137042702151014,0.218547171211744
"mchc",-0.0117563556000866,-0.03823851649326,-0.0961354825284978,-0.0813286128679898,-0.124073504470194,0.0083348704476698,0.177142864937687,0.368440862610176,0.118843051001092,0.23444389490441,0.587953023660548,1,-0.00886797926367533,-0.438130532468359,0.0710929840632117,-0.109847878231726,0.0766810505413798,0.0343095254489734,-0.00399316324358524,-0.109270006735152,-0.0668766124798522,-0.00174159683749511,-0.0294746642614549,-0.0907567630690639,-0.0435015782032895,0.105008119965321,0.0457524862050272,0.0971063830366183,-0.0275048937599548,0.0190613780504055,0.0274316993223114,-0.0161951996977525,-0.0273209837276136,0.0525808012399,0.0586723830812613,-0.0391765440967436,-0.0114171397208161,0.0848248389170979,0.180442870990655
"rbc",0.192922475072791,-0.0848064724601,0.0107111677486588,0.0528607364307054,0.0676191445177832,-0.158318738010896,0.222507005735549,0.766069723754117,0.821663472030149,0.173926265804642,-0.304611532535995,-0.00886797926367533,1,-0.137583731000994,0.346933235909822,-0.0124100982976102,0.254938313012565,0.138788268553039,0.182379805605647,-0.0275130973385346,0.276349008057015,0.198158085337466,-0.0242806063138793,0.0539062526880129,0.0708033873100715,-0.0695443277159057,0.0280261627119025,0.0604315088753512,-0.234591607279563,0.101686613189484,-0.0177745525581627,0.106299898295585,0.0553465242994749,0.0230552658706176,0.0326822632178296,-0.0620644574760718,-0.0561556359898196,0.0809574237402289,0.049478111453337
"rdw",-0.0621549485007641,0.101582361357664,0.128433119974942,0.013660514010711,0.146048359618863,0.0510103150503841,-0.184293795266718,-0.432597412892338,-0.353300116412845,-0.295232544250854,-0.460247716309744,-0.438130532468359,-0.137583731000994,1,-0.144258180837571,0.212114881150362,-0.131027153070799,-0.0573195569215834,0.0606998517412201,0.270600656804178,-0.0412383341024191,0.111625820528289,-0.0388981007032023,-0.0021468268311817,-0.0275129103857489,-0.000795670830133855,-0.00278816901552178,-0.0324845699534439,-0.0124947324411911,-0.00209620655612921,0.00927163889996694,-0.00475595030370768,-0.0285113825322322,-0.296726672301747,-0.197419135931373,0.0681872491490907,-0.0373801453383653,-0.380771741094264,-0.267547058852581
"alb",0.456570557124431,-0.0940819411878857,0.101957462827407,0.0875399850385814,0.192550928165413,-0.0877096146028058,0.252336412047894,0.402018844774022,0.403117492933329,0.215724743111695,0.0803405000586066,0.0710929840632117,0.346933235909822,-0.144258180837571,1,-0.120413592443367,0.11658781218073,0.148635759037568,0.139697067370658,0.170967757715623,0.568584354049435,0.138103023141241,-0.0158731533408499,0.16354009893683,0.0679531416211258,-0.169017192349083,-0.176039035599697,-0.106840707410832,-0.0479672930211826,0.0892598864994326,0.0150972086247134,-0.0182275489453696,0.0989920464003159,-0.132307751438912,-0.0387804431064444,-0.182133456208228,0.0243684838565213,-0.130721573755745,0.0579680577725783
"alkp",-0.00284224691149559,0.0117062866764205,0.115711571907958,0.0112993118905401,0.13715487710797,0.036053544376863,0.0662769331074768,-0.053332962873004,-0.0241702122161947,-0.121099902245418,-0.0591486236869397,-0.109847878231726,-0.0124100982976102,0.212114881150362,-0.120413592443367,1,0.0480650282816956,0.0736671489133251,0.268299324020841,0.234417457455831,0.0196275279173301,0.148634337596284,-0.0485828725083542,-0.0508456962244131,-0.0716600300707616,0.0610938772718994,0.0695000191433156,0.15520596193204,-0.0934899997413681,0.0857935460966714,0.108544209596339,0.102880402423404,-0.0174675027987585,-0.243586076118888,-0.177562109904586,0.0974107718473849,-0.028868401471426,-0.338677251269951,-0.16220227329623
"alt",0.0511974356670838,-0.0526854866746865,0.0337794567389101,-0.00359800070130195,0.0855531209110114,-0.0348701460536496,0.246220290538411,0.29698818657112,0.290226726537337,0.16488123495451,0.0639195043767641,0.0766810505413798,0.254938313012565,-0.131027153070799,0.11658781218073,0.0480650282816956,1,0.727044129137764,0.467501815334874,0.186669755795342,0.139711294904992,0.148776148628569,-0.00313727016233112,0.106086220497812,0.208257485477144,-0.165282563546784,-0.0633056385767101,0.00394227615149634,-0.100531471919534,-0.00538377653626424,-0.0824250149780048,0.0265025568226212,0.147375362154617,0.16515039639329,0.0949682959007226,-0.0608181938762405,-0.035860135191101,0.201120866468315,0.08873271266956
"ast",0.117537598709807,-0.0595959110322168,0.0420755440504886,0.0384244414203151,0.0555639861543273,-0.0298112647497483,0.209809618497085,0.199635674257624,0.198602699606221,0.166676763047681,0.0893521033356996,0.0343095254489734,0.138788268553039,-0.0573195569215834,0.148635759037568,0.0736671489133251,0.727044129137764,1,0.378359634313617,0.285359803511239,0.204637886930432,0.13401721283556,0.00833989755408994,0.0956980482873786,0.273008518327916,-0.16763910596752,-0.117750767129386,-0.06021415707248,0.0276806665000935,-0.0400491317299795,-0.0812648743594343,-0.193382086549689,0.143835449455955,0.152851132973712,0.0699691265552146,-0.0911723574802225,-0.0412739213627759,0.165961120452222,0.0766821935576693
"ggt",0.0998261873210719,-0.0966555662907606,0.128400329827488,-0.0320172801583647,0.102222438624025,-0.0849265646868479,0.369898589467123,0.21940685573924,0.23141714863552,0.09120424848774,0.0580831476180709,-0.00399316324358524,0.182379805605647,0.0606998517412201,0.139697067370658,0.268299324020841,0.467501815334874,0.378359634313617,1,0.181191103034254,0.19160666175155,0.338657530192677,-0.0134044198937357,0.0901871936622369,0.108055870277479,-0.131308335140131,-0.0252511610946279,0.163963848168399,-0.157645426010327,0.0489275774008403,0.0404601874556816,0.0898148141735589,0.103834557819815,-0.0835828542216409,0.0971680811735216,0.109296540708309,-0.137486556723066,-0.162999576433388,-0.151967907530735
"ldh",0.099309525231541,0.234509128379144,0.238691350185376,0.121374047195851,0.51198664313517,-0.01496083361765,0.135814526668071,-0.0294367236078372,-0.000378494923266809,0.00717114732616387,-0.00819142472518325,-0.109270006735152,-0.0275130973385346,0.270600656804178,0.170967757715623,0.234417457455831,0.186669755795342,0.285359803511239,0.181191103034254,1,0.0573535191396974,0.102654671648479,-0.113252842835964,0.130638127176046,0.0650185507295712,-0.136991405485444,-0.194481826013129,-0.0994967524701112,0.0681857514682488,0.0926606753343996,0.0615598234426185,-0.0340606990441681,-0.0323309279018635,-0.550065504858574,-0.544275324665882,-0.30804410107781,0.0412928811979398,-0.60943804286461,-0.0622700091109127
