"","ca","cl","k","mg","sodium","p","ferritin","hb","hct","iron","mch","mchc","rbc","rdw","alb","alkp","alt","ast","ggt","ldh","tot_prot","uric_ac","baso_p","lympho_p","mono_p","neut_p","wbc","trig","hdl","ldl","chol","chol_hdl","vitb12","folate","vita","g_toco","b_cryp","a_carot","vitd_tot"
"mch",0.006025129557161,-0.0258739887862815,0.0146870444315919,0.0104263797160571,-0.0135983991936437,0.0512384829320238,0.270650136389543,0.353325536055678,0.214744365765088,0.306455757638079,1,0.56908961343034,-0.32542686094064,-0.448144069805158,0.0730067984327919,-0.0465575504013794,0.0572884905914325,0.0858714488788555,0.0811836233949036,-0.00548517438011306,-0.0581618085200541,0.0180454440104479,-0.0629400121109358,-0.0685592482363677,0.0185873765059158,0.060096118424904,0.0188370195123267,0.0431597058869788,0.0509812927958038,0.00910860978532835,0.041507289367258,-0.0136203464118811,-0.04201453528404,-0.0036006134123291,0.0269488926354595,-0.0739805882976788,-0.0105863471953268,-0.0194402387967327,0.225509096038529
"mchc",0.003951699975156,-0.060641808465483,-0.107281191588093,-0.0511471245421402,-0.133350779438556,0.0365281536478165,0.199828919629876,0.415517755096634,0.143308468272809,0.256183188008923,0.56908961343034,1,0.0420912582249991,-0.43645177906705,0.0960540576210505,-0.112489792421532,0.0836574687643405,0.0318722639540972,0.0253950495382167,-0.109288325838073,-0.0230967153869492,0.0226224466605013,-0.0519780765543093,-0.046290083200659,-0.0535784331726169,0.0680278134069604,0.0360720679316101,0.0729111780484901,-0.0659823152285004,0.0157946654581968,0.00977109934910027,0.0641852225738922,-0.0413615028389623,-0.0310671377732708,0.0644439084862837,-0.00327268094779125,-0.0275927584969739,0.0495375784545743,0.158522627534825
"rbc",0.166805748778743,-0.0912146454812694,0.0199626015175731,0.0180206020872508,0.0558333126439746,-0.221926037503469,0.201423216187168,0.759615853741113,0.813798402860357,0.156157959160643,-0.32542686094064,0.0420912582249991,1,-0.0769688532983714,0.311576998966822,3.34555677435685e-05,0.210773867690968,0.112389359440397,0.186041879724431,-0.0246438916031283,0.229045426167527,0.207792346366341,-0.00103980833648011,0.0459628195044049,0.0797966375089294,-0.0658527617095541,0.0120679078515558,0.0837863164744658,-0.22695014371695,0.0910265724237265,0.0088154862093215,0.21622451791255,-0.00169331391517948,-0.0209794503913411,0.0790066492681442,0.0686310342850493,-0.0544909800375431,-0.0118563679889127,-0.0218098545155479
"rdw",-0.0410107696612632,0.138157767703835,0.153755834727146,0.0377856447320029,0.184782416288583,0.0558481953498006,-0.181484813121659,-0.371529704878085,-0.28252834898439,-0.275745715677624,-0.448144069805158,-0.43645177906705,-0.0769688532983714,1,-0.116467961652388,0.20168988385433,-0.0787439016021086,-0.0134037897607593,0.0459466253737112,0.307227419198588,-0.0345726406916113,0.0932470504441602,-0.0360748584652734,-0.00688552435015004,-0.0315855176892949,0.00636776314493856,-0.000934080462789774,-0.0423809055252336,-0.0023253622518171,0.00451891086278659,-0.00910132715568003,-0.0135169036592796,0.00153869613530298,-0.193630497385808,-0.371226734763437,-0.193465603446335,-0.0448018014294323,-0.387134141703896,-0.21119957888725
"alb",0.442713754662383,-0.0683570612059504,0.0723219412911757,0.0712079297206924,0.165433669611314,-0.0722484360119385,0.213063518472252,0.36784229690519,0.364060674509746,0.201865328614774,0.0730067984327919,0.0960540576210505,0.311576998966822,-0.116467961652388,1,-0.0926772131131149,0.0442270972258596,0.136802840768821,0.0986512404545238,0.192187742418439,0.573770291221572,0.118326118013301,-0.0440637101660872,0.138777841632557,0.0313336826883093,-0.128396835416025,-0.171111671715946,-0.0755380553627727,-0.0261260613047435,0.12642101191128,0.0757963408087282,0.0824049571072806,0.017912483491313,-0.159520643147374,-0.128651723510658,-0.206143110784514,0.0355610174874493,-0.237137948444172,-0.00136155804130873
"alkp",0.0214689074108377,0.0569056039799523,0.113041672986658,0.0483261079823491,0.14306001204634,0.0530254647056671,0.056406086268692,-0.0321243429197908,0.0019896443807508,-0.125631476396258,-0.0465575504013794,-0.112489792421532,3.34555677435685e-05,0.20168988385433,-0.0926772131131149,1,0.0915454060406928,0.11530354856005,0.259136042310576,0.233551455451376,0.057509148315645,0.126986146868505,-0.0345720197519689,-0.0675741625054898,-0.0626864474760044,0.0815632793511763,0.0612992375998779,0.130202623677307,-0.0521818657268954,0.0777767807037602,0.0866927601782747,0.0954561101605222,0.00690507183611114,-0.155516381508372,-0.300946039744251,-0.103063710860337,-0.00704536119188761,-0.307949841697235,-0.0735162968423597
"alt",0.0134648886927506,-0.131120923119277,0.024766367020765,-0.0619579181308127,0.0664625966969184,-0.00739425377548865,0.246501654886807,0.251320567066286,0.242051350124195,0.154709727102337,0.0572884905914325,0.0836574687643405,0.210773867690968,-0.0787439016021086,0.0442270972258596,0.0915454060406928,1,0.697919647663201,0.502399221506188,0.157225610528363,0.0889494719898773,0.176801850066214,0.0694608727062089,0.0969460863620712,0.232468242404242,-0.180805529270577,-0.0935863670458355,0.00225694940445851,-0.117828631959042,-0.0631675258064973,-0.102133171237761,0.0621764699623998,0.249057829094309,0.331218536642038,0.17542878119237,0.111274494474441,-0.0376612443057872,0.127820632873674,-0.00882584316678663
"ast",0.114157988191122,-0.0959667846420358,0.0394129593731215,0.0102954662890711,0.0546263482313318,-0.0175829261756693,0.207525962258729,0.173646931888776,0.17413529369453,0.174181302566551,0.0858714488788555,0.0318722639540972,0.112389359440397,-0.0134037897607593,0.136802840768821,0.11530354856005,0.697919647663201,1,0.390940166285868,0.312178899721519,0.194782288982613,0.16564618277347,0.0844849556034624,0.100578399149747,0.28250215406333,-0.18810852191962,-0.140372706115747,-0.0616536462464517,0.0290704806025981,-0.0799191970703038,-0.0776643606833108,-0.0536990972366129,0.205578082628004,0.288795277171993,0.140274122233552,0.0455923539964402,-0.0401739967073708,0.109018710725057,0.00294954321599218
"ggt",0.0813295595930164,-0.0910736605103594,0.110912683363065,-0.013834031335849,0.079281451419234,-0.0580962056370467,0.344696389005361,0.24215101042244,0.250960436609461,0.100187283439807,0.0811836233949036,0.0253950495382167,0.186041879724431,0.0459466253737112,0.0986512404545238,0.259136042310576,0.502399221506188,0.390940166285868,1,0.155240368599228,0.17265306065737,0.309573062268541,0.0249778657880253,0.0612245276650771,0.106535406312025,-0.10813711047542,0.000483680119287052,0.159846446326778,-0.127465050984328,0.0162918753444192,0.014470355169826,0.149915547672327,0.127836560868166,0.0378290786575369,0.0405293107341759,0.0309579752651144,-0.150468793919741,-0.131543566453643,-0.1497468043031
"ldh",0.107900018130955,0.21557977453865,0.211686053036659,0.0912033489382708,0.483189979853567,-0.00290828041049201,0.129539198456358,-0.0241562180073159,0.00753953197302807,0.0106031946293591,-0.00548517438011306,-0.109288325838073,-0.0246438916031283,0.307227419198588,0.192187742418439,0.233551455451376,0.157225610528363,0.312178899721519,0.155240368599228,1,0.0863986994781138,0.096167492997053,-0.0867742491989611,0.145924394781589,0.0890414424099801,-0.153371634040687,-0.201118357758311,-0.104106700677159,0.0751500678128005,0.0669574185910649,0.0543251932803178,-0.0419268852949478,0.0824108583599072,-0.195157685808092,-0.726998491260147,-0.509473898316889,0.0541247534108783,-0.753640178227399,-0.0418131258612277
